_Threshold	BMD[mg/cc]	File
200	45.8176	BA01_120_1Slices.xml
200	33.9556	BA01_120_2Slices.xml
200	27.0439	BA01_120_3Slices.xml
200	57.2939	BA02_120_1Slices.xml
200	69.8476	BA02_120_2Slices.xml
200	82.2962	BA02_120_3Slices.xml
200	46.5035	BA03_120_3Slices.xml
200	50.0221	BA04_120_2Slices.xml
200	48.4005	BA04_120_3Slices.xml
200	47.1518	BA05_120_1Slices.xml
200	57.562	BA05_120_2Slices.xml
200	60.5435	BA05_120_3Slices.xml
200	75.6476	BA06_120_1Slices.xml
200	53.4462	BA06_120_3Slices.xml
200	44.5803	BA07_120_2Slices.xml
200	30.0895	BA07_120_3Slices.xml
200	57.9385	BA08_120_1Slices.xml
200	50.9841	BA08_120_3Slices.xml
200	34.5939	BA09_120_1Slices.xml
200	33.1954	BA09_120_3Slices.xml
200	44.4914	BA10_120_1Slices.xml
200	80.568	BA11_120_4Slices.xml
200	73.8804	BA12_120_1Slices.xml
200	82.1673	BA12_120_2Slices.xml
200	99.885	BA12_120_3Slices.xml
200	7.24436	BA13_120_1Slices.xml
200	2.71996	BA13_120_3Slices.xml
200	23.3219	BA14_120_1Slices.xml
200	26.8468	BA14_120_4Slices.xml
200	28.2186	BA16_120_1Slices.xml
200	30.4051	BA16_120_3Slices.xml
200	50.6417	BA17_120_1Slices.xml
200	53.8809	BA17_120_2Slices.xml
200	52.0222	BA17_120_3Slices.xml
200	47.2162	BA18_120_1Slices.xml
200	49.0836	BA18_120_2Slices.xml
200	52.0333	BA18_120_3Slices.xml
200	21.5872	BA19_120_1Slices.xml
200	33.7707	BA19_120_2Slices.xml
200	37.4601	BA19_120_3Slices.xml
200	51.5974	BA20_120_1Slices.xml
200	51.0266	BA20_120_2Slices.xml
200	34.4291	BA21_120_1Slices.xml
200	48.0659	BA21_120_2Slices.xml
200	50.8078	BA22_120_1Slices.xml
200	56.9512	BA22_120_2Slices.xml
200	58.2799	BA22_120_3Slices.xml
200	49.9836	BA22_120_4Slices.xml
200	68.8221	BA23_120_1Slices.xml
200	69.2366	BA23_120_2Slices.xml
200	69.9114	BA23_120_3Slices.xml
200	61.0783	BA23_120_4Slices.xml
200	69.2121	BA24_120_2Slices.xml
200	83.4252	BA24_120_3Slices.xml
200	76.1594	BA24_120_4Slices.xml
200	75.3691	BA25_120_1Slices.xml
200	75.1602	BA25_120_2Slices.xml
200	87.1883	BA25_120_3Slices.xml
200	43.7872	BA26_120_3Slices.xml
200	25.8943	BA27_120_1Slices.xml
200	31.0683	BA27_120_2Slices.xml
200	27.1163	BA27_120_3Slices.xml
200	58.4262	BA28_120_1Slices.xml
200	73.6553	BA34_120_2Slices.xml
200	83.9897	BA33_120_3Slices.xml
200	79.298	BA33_120_2Slices.xml
200	61.1211	BA28_120_2Slices.xml
200	60.7456	BA28_120_3Slices.xml
200	79.7527	BA29_120_1Slices.xml
200	58.7528	BA29_120_3Slices.xml
200	57.9685	BA30_120_3Slices.xml
200	67.621	BA31_120_2Slices.xml
200	54.9035	BA32_120_1Slices.xml
200	68.729	BA32_120_2Slices.xml
200	72.896	BA32_120_3Slices.xml
200	75.0977	BA33_120_1Slices.xml
200	93.7555	BA34_120_3Slices.xml
200	67.6205	BA35_120_1Slices.xml
200	60.5014	BA35_120_2Slices.xml
200	54.919	BA35_120_3Slices.xml
200	43.9996	BA36_120_1Slices.xml
200	61.7077	BA36_120_3Slices.xml