Filename,MFS_1,MFS_2,MFS_3,MFS_4,MFS_5,MFS_6,MFS_7,MFS_8,MFS_9,MFS_10,MFS_11,MFS_12,MFS_13,MFS_14,MFS_15,MFS_16,MFS_17,MFS_18,MFS_19,MFS_20,MFS_21,MFS_22,MFS_23,MFS_24,MFS_25,MFS_26,MFS_27,MFS_28,MFS_29,MFS_30,MFS_31,MFS_32,MFS_33,MFS_34,MFS_35,MFS_36,MFS_37,MFS_38,MFS_39,MFS_40,MFS_41,MFS_42,MFS_43,MFS_44,MFS_45,MFS_46,MFS_47,MFS_48,MFS_49,MFS_50,MFS_51,MFS_52,MFS_53,MFS_54,MFS_55,MFS_56,MFS_57,MFS_58,MFS_59,MFS_60,MFS_61,MFS_62,MFS_63,MFS_64,MFS_65,MFS_66,MFS_67,MFS_68,MFS_69,MFS_70,MFS_71,MFS_72,MFS_73,MFS_74,MFS_75,MFS_76,MFS_77,MFS_78,MFS_79,MFS_80,MFS_81,MFS_82,MFS_83,MFS_84,MFS_85,MFS_86,MFS_87,MFS_88,MFS_89,MFS_90,MFS_91,MFS_92,MFS_93,MFS_94,MFS_95,MFS_96,MFS_97,MFS_98,MFS_99,MFS_100
BA01_120_2Slices,0.2781987348,0.5201826875,0.3281987348,1.1440254128,1.281237174,1.5468121755,2.5718864812,1.5132954989,1.1675836547,1.3577373986,1.0788105653,0.8191332973,0.7459574584,0.6563974697,0.5874780682,0.6563974697,0.5201826875,0,0.5201826875,0,0,0,0,0,0,0,0.5717032419,1.0827310862,1.5356218715,1.8857292367,2.6475525336,1.8911235382,1.761985411,1.5131437731,1.4138654727,1.1782130505,0.9619514162,0.8122372959,0,0.2462191845,0,0.1709117758,0,0,0,0,0.6219595972,1.3655163347,1.9495340388,2.2870270549,2.6746994765,2.0335485389,1.8334394765,1.6177442015,1.3934582158,1.1581494352,0.8108384519,0.7962677976,0.5300671971,0,0.3794036398,0.355649266,0.5736011286,0.5559849124,0.7257681636,1.0667241352,1.6500985841,2.0842509554,2.2929743891,2.7229629412,2.2106241245,2.0401367309,1.854187308,1.6618974617,1.4581953304,1.2552439522,1.1036993749,0.795081772,0.562152791,0.1632881311,0.7130492593,0.7971939538,0.8181160159,0.9116957949,0.9872293171,1.392077229,1.8727734872,2.2306059436,2.7540324639,2.388991843,2.2699981429,2.1085611501,1.9422988408,1.7705319211,1.5950458943,1.4148775079,1.2522662735,1.0481835052,0.7859303941,0.3623940799
BA02_120_2Slices,0,0,0.5284607481,0.7580845979,0.8618823576,1.2647670368,2.5497023938,1.20147918,1.1053749933,1.3677891795,1.2650171222,1.2800549447,1.1936444665,1.2865305839,0.8991032359,0.8182039579,0.6668432191,0.6460913442,0,0.3334216096,0.2549790043,0,0.5920429136,0.8470219179,1.0603059634,1.2409331216,1.5548805046,2.1343987013,2.6676171742,1.7239496473,1.7820223465,1.7787725608,1.7555744233,1.6147647777,1.6080583876,1.4907688535,1.2944213535,0.8938347254,0.9435344347,0.4041321603,0.6661820492,0.783490885,1.2208048305,1.430505019,1.6370610577,1.8076672828,1.9214018591,2.7171894302,2.0479461298,2.0553146884,2.0347938506,1.9789933572,1.8891129418,1.7714989081,1.5964946942,1.3905359798,1.1593806177,0.7420890651,0.5183903946,0.3178496152,0.7305385166,1.0217648915,1.3186826157,1.599790807,1.8108712586,1.9824383497,2.1180761108,2.761720784,2.2358457863,2.2371410317,2.1932998164,2.1072681808,1.983164768,1.7965873288,1.5599201571,1.2875351063,0.934785028,0.5784273678,0.1672030066,0,0.6739544027,1.0596231124,1.3838301055,1.6502688786,1.8694195451,2.0501270665,2.1814311704,2.7831093106,2.3291599634,2.335718673,2.3074513024,2.2312536873,2.109057006,1.9427267782,1.7363435464,1.4742439922,1.1763437935,0.890772039,0.2265622905,0.2059324529
BA05_120_2Slices,0,0,0,0.3334216096,1.0002648287,1.2843004324,2.536784739,1.6499322346,1.4610046044,1.1389739276,1.4453845583,0.9906325748,0.7368193665,0.5284607481,0.3334216096,0,0,0,0,0,0,0.5099580086,0.8338402936,1.1487382988,1.3705087909,1.6159084942,2.6245021089,1.8746745079,1.786578964,1.6823357654,1.5725044587,1.4282086551,1.348602551,1.3035862089,1.1461777758,0.7158165627,0.8022114698,0.2549790043,0,0.5920429136,0.6063650701,1.0223497641,1.4961013801,1.7821418405,1.9630190434,2.675742512,2.1156473238,2.028938401,1.9303487265,1.8252864036,1.6660400422,1.464437993,1.2364244318,1.0970830802,0.9420720777,0.657317353,0.3203552993,0,0.3203552993,0,0.2653693332,0.9368330487,1.4456353209,1.8362324792,2.0907657494,2.7221504334,2.2768155909,2.21499073,2.1075004644,1.9530279084,1.7628002908,1.5381709022,1.3311604878,1.1054430722,0.9526407912,0.6859268766,0.3887590464,0.2653693332,0,0,0.7533074233,1.2847807471,1.6995497862,2.0160653693,2.2212621378,2.763659516,2.3521146464,2.3075764881,2.2043855994,2.0644558573,1.8888235624,1.6998784935,1.5129756184,1.3224622418,1.1363856305,0.9500914777,0.6975197222,0.4789700033,0.3664680803,0.1434989655
BA07_120_2Slices,0.6082299431,0.4909345624,0.6563974697,0.8551926478,0.9801584951,1.2128895931,2.6075279571,1.4369395998,1.2707152354,1.2227365487,1.1833913826,0.5201826875,0.969038874,0.6356455947,0.5201826875,0.5201826875,0,0.3281987348,0,0.3281987348,0.6364673588,0.8785021805,1.2087840248,1.3900910771,1.6953566033,1.861365431,2.6721201222,1.7776216983,1.6240324345,1.528590646,1.3903779104,1.305620722,1.090193304,0.7386575534,0.5717032419,0.4924383689,0,0.3902481743,0,0,0.3945868875,0.957784519,1.2942112008,1.631393023,1.8462913936,2.0001402554,2.7077116886,2.038890895,1.9569670182,1.8442961863,1.738158216,1.5982098095,1.4379969077,1.2207239793,1.0807578863,0.9176384034,0.7708038999,0.6254054199,0.5099961537,0.3127027099,0.4752290736,0.7990889579,1.3293316316,1.7667035636,2.0529315554,2.2191160131,2.74697534,2.1824970453,2.0691473639,1.9190608756,1.7444966151,1.5577590374,1.372435414,1.1682525956,0.9484275471,0.7044865132,0.5356705951,0.164625961,0.2609259748,0.144625961,0.2557004979,0.411737643,1.0339815352,1.5482940364,1.9477366314,2.2127603743,2.777232048,2.3338564443,2.2461168406,2.1041802224,1.9326748446,1.7478693638,1.5553686894,1.3369101311,1.1441311287,0.9405457148,0.6973739325,0.4843435596,0.4463956134,0
BA18_120_2Slices,0,0,0,0,0,0,0,0.3334216096,0,0,0,0.6186756926,0.9415467701,1.5883215819,2.6218298238,1.5113854227,1.3304715312,1.1440254128,1.0340484924,0.6668432191,0.2478787922,0,0,0,0,0.2478787922,0.2478787922,0,0.2478787922,0.5755567318,0.8748015915,1.3559042007,1.6795382919,2.7104100476,1.9568163898,1.8792380221,1.6787613183,1.3077529373,0.8414295892,0.2478787922,0.618157146,0.6602757881,0.6337758401,0.7523143887,0.8216930049,0.8649020372,0.7398437787,0.8157079534,0.9920166732,1.3110075064,1.7179310009,2.0293366132,2.7800267738,2.1644608057,2.0618288727,1.8337426155,1.5109020269,1.0625812599,0.6337758401,0.3168879201,1.2122717043,1.0376004501,1.0403729659,1.1094425837,1.1349377425,1.1742293171,1.2052414818,1.3958245866,1.7434390314,2.0532019394,2.8011862274,2.3061117695,2.2637211119,2.1255159485,1.8874340285,1.5610975248,1.2287965633,0.77032375,0.1662526087,0,1.4315941828,1.2835047695,1.302487715,1.3409599041,1.3662923231,1.4031597981,1.456029556,1.5977591572,1.8967254639,2.1703653934,2.8238038039,2.3895993121,2.345407821,2.2099125798,1.9933170433,1.712177121,1.3971733544,1.0115021718,0.5814527417,0.2747294669
BA19_120_2Slices,0,0,0.3281987348,1.0964514123,1.281237174,1.5868760575,2.7526738291,1.5720729446,1.3533849157,1.0784126306,0.9213703336,0.9506926092,0.5201826875,0.6563974697,0,0.3281987348,0,0,0,0,0.7197357328,1.1433666396,1.5766257455,1.8702514838,2.7188877144,1.9071666669,1.7586851029,1.5498898461,1.4216097068,1.1274985384,0.983361164,0.8040807072,0.6256964077,0.2420524118,0.2420524118,0.2420524118,0.6256964077,0,0,0,0.1057748606,1.2040134698,1.8478118124,2.1574595617,2.7614885668,2.0795292121,1.8689475002,1.6334003083,1.3908144713,1.1937782369,1.0157617967,0.8134174936,0.7392146716,0.5845241957,0.480230145,0.3896827971,0,0.1948413986,0,0,0.467218888,1.145237963,1.7978875764,2.1943917294,2.7957730988,2.2807397547,2.1131975017,1.8941256217,1.6808521376,1.4899017033,1.3373278959,1.195861519,1.0981666083,1.003751862,0.7888277207,0.7606013737,0.6549733371,0.533704875,0.3640816035,0.1630934223,0.7232675233,1.3711860388,1.9554165892,2.3064651396,2.8184392411,2.3434394279,2.1643593476,1.9564687371,1.7719922008,1.6144102227,1.4863595407,1.3829952865,1.2646673682,1.1796337745,1.0694724634,0.9608537636,0.8325349373,0.7220339566,0.5161707556,0.2701402487
BA21_120_2Slices,0,0,0,0,0.3334216096,0.3334216096,1.1145195903,1.3127400607,2.5223248823,1.64220216,1.3723185257,1.4701172996,1.1727500409,1.2650171222,0.9967146163,0.6668432191,0.5284607481,0.3334216096,0.3334216096,0.2834216096,0.5755567318,0.9437625396,1.2420991036,1.6267969734,1.7811038392,2.5961891202,1.8826156957,1.7978782606,1.7099860538,1.5736831768,1.2972219187,1.1329874473,0.7715373667,0.7914288829,0.3928785904,0.2478787922,0,0,0,0,0.9286267608,1.7118685771,2.158045045,2.6638538417,2.1817631309,1.9160189581,1.5161052736,1.1136100006,0.7185979499,0.5181487059,0,0.1978626266,0.1978626266,0,0,0.1978626266,0,0,0,0,0.6246987065,1.506836719,2.1433744953,2.7051254835,2.3508455648,2.142620966,1.7676132811,1.3543635327,0.9863533169,0.8593950962,0.7474217756,0.705741599,0.4586416293,0.389403133,0.5005035186,0,0.1648323615,0.2298314595,0,0,0.5979952779,1.3705004647,2.0528479137,2.7315146294,2.4678074519,2.3295221351,2.0310902669,1.6435437621,1.3032750763,1.1305217338,1.0390166514,0.9708592096,0.8745222767,0.8003092215,0.7584570749,0.5991459445,0.5630439512,0.5153867738,0.3016988045,0.3303496966
BA22_120_2Slices,0.6516596499,0.8532363287,1.5894648776,2.7728247854,1.6104540981,1.3718633755,1.3791186723,1.1944286296,1.1749941834,1.1408848179,0.9673867156,0.7873045304,0.8288985956,0,0,0,0,0,0,0,0,0.5964718913,0.7211714711,0.9687863048,1.4080262144,1.5819751899,2.7168587725,1.9716679522,1.8405301501,1.7653243325,1.7398072224,1.684663216,1.559714495,1.2733417767,1.2057847987,0.7706593834,0.4071554078,0,0,0,0,0,0.472372242,0.7948164605,1.3150802735,1.5567824649,1.8061905199,1.9561045794,2.745758041,2.1045594531,2.0688443732,2.0238042475,1.9525244128,1.8314790303,1.663539475,1.4945077045,1.1652179226,0.9142732371,0.5258838698,0.2034396513,0.5846317347,0.9972612195,1.3681343996,1.6497062263,1.8878900104,2.0660692187,2.1668583036,2.784375186,2.238706477,2.2206996825,2.1514695467,2.0508665674,1.9046422295,1.7169144345,1.4985409946,1.2516813413,0.9724529437,0.6412287295,0.2678530691,0,0.6572171455,1.1206791072,1.4836160975,1.7751371043,2.0093186641,2.1827805744,2.8061726826,2.3415129527,2.3496871885,2.3112529457,2.2374312724,2.1120950547,1.9535725867,1.755901367,1.5202645542,1.2518522128,0.9553248463,0.6083519486,0.356818386,0.1445310076
BA23_120_2Slices,0.3657348386,0,0.3657348386,0.3657348386,0.7314696771,1.523382764,2.6477130802,1.4398928508,1.3480415533,1.3960053084,1.2206145803,1.2983593368,1.2839341332,0.7052837264,1.1266761203,0.7873045304,0,0,0,0.3657348386,0.2568864611,0,0.4071554078,0.808257965,1.2177003824,1.4314673703,1.677660731,2.6376878023,1.7792406118,1.7787311103,1.714104269,1.6306939766,1.5739091754,1.325358027,1.2611184947,1.0088008959,0.2568864611,0.4989889883,0.2568864611,0.5137729223,0.4068793026,0.965902587,1.4232528246,1.7516551407,1.9276971866,2.6907056497,2.087025548,2.0592252959,1.9867108826,1.8469379788,1.6709548047,1.4362487867,1.2331059319,1.0044966256,0.7497831622,0.5081887175,0.2034396513,0.2034396513,0,0,0.3857708657,0.9365840307,1.4588981765,1.850951076,2.1170528406,2.7339912087,2.2727315429,2.214887562,2.069994505,1.8538373724,1.589059374,1.3179886662,1.0591310938,0.7491677764,0.644496435,0.5156608531,0.3065034933,0.1484117876,0.1689964709,0,0.7061475118,1.2642488295,1.7303013914,2.0756965026,2.2872297153,2.7673590389,2.3537092196,2.2404846789,2.0459894102,1.808799173,1.5521005607,1.2960774248,1.0720792956,0.9220693504,0.7721711854,0.6512623428,0.4389554206,0.4464859126,0.2353983264,0.0807034302
BA24_120_2Slices,0,0.3657348386,0.6778456006,1.6238263642,2.7069589621,1.5782479863,1.4179563374,1.4186363653,1.0544229417,1.1488082327,1.1978612474,0.8745189925,0.9114260171,0.5796760043,0,0.5427689797,0,0,0,0,0.5137729223,0.7539533086,1.3071194814,1.4910209452,2.6829103694,1.9861419504,1.8198903805,1.7466573098,1.7182176505,1.5366991294,1.4240768781,1.1139614692,0.8347622687,0.5964718913,0.664041869,0,0,0,0,0,0.4763187691,1.0244936082,1.5857235352,1.9165732236,2.7627235733,2.1752560316,2.1022323768,1.9591943926,1.745387607,1.4543242476,1.2525165673,1.011551293,0.8700572314,0.7105426793,0.205139328,0.3251381423,0.3251381423,0,0,0.205139328,0.5723755149,1.3043710036,1.8154777891,2.1427792547,2.791113781,2.3018443274,2.1906794237,1.9841054135,1.7175636501,1.4731393777,1.2561235919,1.1029358424,0.8900528058,0.7772472215,0.7152774429,0.5641897819,0.3603339105,0.3389098891,0,0.1694549446,0.7692321139,1.4053757233,1.8855239563,2.2038813255,2.8146788817,2.3951158852,2.3055961218,2.1252049569,1.893597587,1.6749708909,1.4890491129,1.3422852255,1.186011435,1.0797315602,0.9637022498,0.8441423132,0.7602779494,0.6411965561,0.5092914274,0.3856270591
BA25_120_2Slices,0,0,0,0,0.3657348386,1.0173944885,1.5973029766,2.6931515931,1.5919108432,1.405298668,1.60892547,1.4598035495,1.5518034519,1.1988426428,0.6778456006,0.7314696771,0,0.3657348386,0,0.5796760043,0.4161031638,0.7633358597,1.2872796505,1.5539629986,1.8357957764,2.7160185038,1.9593000975,1.8827910464,1.8056463993,1.7294036797,1.4887771012,1.3216427611,1.1359073628,0.9080430487,0.7875955999,0.5250637333,0.4161031638,0.4161031638,0,0,0.3262414571,0.8648317855,1.4844232879,1.8655559788,2.0653813918,2.7370683532,2.1571334117,2.0981213972,2.0185787619,1.8973856093,1.7329013043,1.5728055135,1.3380954751,1.1689097742,0.8845516612,0.8233417686,0.4779350961,0.3262414571,0,0.111269414,0.8877537539,1.5143078143,1.9221381542,2.1657265039,2.7678713624,2.3117742965,2.2640654194,2.1882316223,2.0791928035,1.94216928,1.7768820202,1.6105541092,1.4010991593,1.2355857017,1.0504631955,0.8606748459,0.7355919214,0.4791726439,0,0.1146641328,0.7917668162,1.4107945074,1.8810757791,2.1768461415,2.3400021825,2.8033594519,2.3813466616,2.3231059612,2.2231469337,2.0951739371,1.9406925589,1.7815209715,1.6106602415,1.4362568506,1.2683725985,1.1002358514,0.948683576,0.743270224,0.4923770704,0.0985569947
BA27_120_2Slices,0,0,0,0,0,0,0.5284607481,0.3334216096,0.3334216096,0.9724432749,1.1048873364,2.6033681942,1.672988815,1.3899596106,1.2355189117,0.8698551109,0.4313243074,0.2834216096,0.3334216096,0,0.4383454671,0,0,0,0,0,0,0,0,0,0.9394210533,1.4060106274,1.7933393779,2.7406272809,1.9356695491,1.7613992531,1.5660746057,1.138033679,0.7501530788,0.4041321603,0,0.6317181831,0.4008708099,0.20212169,0.4042433801,0.4693120307,0.3203552993,0.6014341647,0.7627385947,0.8215430059,1.3723402389,1.8938846541,2.7629422035,2.2282880825,2.0755477106,1.8647878392,1.4869822226,1.0622396792,0.6957066523,0.20212169,0.9338878547,0.8233179813,0.8572914845,0.7990951412,0.9538541638,0.9243920477,0.9930666447,1.0794918519,1.337381705,1.8404432444,2.1755783299,2.7902257313,2.2720488488,2.1119969639,1.8268322445,1.4378362603,1.0354389214,0.660705392,0.2653693332,0,1.256904423,1.1086107042,1.1345615075,1.1639233715,1.1940001192,1.2243415328,1.2832990738,1.4350873776,1.7942016286,2.1405040773,2.3347251222,2.8201690137,2.3199367313,2.1489096914,1.8853928221,1.5613242503,1.2377300138,0.9408294227,0.6198536633,0.3488100306
BA28_120_2Slices,0.5796760043,0.8288985956,0.5427689797,1.0853674793,1.2965911904,2.6593014156,1.4749507772,1.2402538311,1.1486309348,1.4232972275,0.6778456006,1.1628396323,0.9839823389,0.5796760043,0.576080759,0,0.3657348386,0.5040971134,0,0,0.9714833465,1.4588507482,1.7308848158,2.6734062992,1.9579168627,1.8024572151,1.706016789,1.5458860856,1.3644460419,1.0220593299,0.8400552701,0.5250637333,0.2625318666,0,0,0,0,0,0,0,0.5320768993,1.140831952,1.6955505842,2.0316892806,2.7007134276,2.1590436764,2.0327318001,1.9132580894,1.7700681363,1.5912863432,1.3834951955,1.2088903006,0.8774315767,0.6990704748,0.5626635003,0.4474916348,0,0.2058354422,0,0,0.6251672705,1.2429696032,1.8013593899,2.1419399822,2.7401813485,2.2935146042,2.2125963893,2.1150656764,1.981106501,1.8096840621,1.6306365766,1.4259547832,1.243993261,1.0877565061,0.922628355,0.7409674727,0.4347446152,0.4022003978,0,0.2252049837,0.8081932882,1.4163979603,1.9416193564,2.2598218931,2.7770774466,2.3698819373,2.2969632564,2.1893061054,2.0486143666,1.886016926,1.7038309174,1.532770804,1.38694303,1.2229126893,1.0663583558,0.8447402545,0.7063207122,0.6491186483,0.3932089239,0
BA32_120_2Slices,0.1734388958,0.5796760043,0.7314696771,1.2292029674,2.6578313883,1.6021120079,1.3594749446,1.2292029674,1.3952674646,1.1628396323,1.0732293418,1.1004901696,0.9454108429,0,0,0,0.5796760043,0,0,0,0,0.4071554078,0.5964718913,1.2292842203,1.4654014174,2.0169191137,2.6016609119,1.8078153821,1.7183066517,1.5786045437,1.4621389999,1.2528610617,0.9216814278,1.0046875144,0.8347622687,0,0.2568864611,0,0.2568864611,0,1.3513289411,1.8770394839,2.672184957,2.1727343749,2.0370263846,1.8687951814,1.6047761789,1.4063891562,1.0168166732,0.9042031084,0.7745669578,0.5189752834,0.3224442185,0,0.3224442185,0.2034396513,0,0,0,0.1771746978,1.0107193296,1.7657316707,2.1464936139,2.723056913,2.2621280505,2.1438476397,1.9550271177,1.7153880906,1.493498944,1.3314250727,1.1487059716,0.9833459418,0.815514584,0.7671696538,0.6014498387,0.266943962,0.4154984257,0.4088716378,0.3582054341,0.1478382049,1.0915506531,1.8179366721,2.2206416964,2.7603623913,2.3588337114,2.2348734468,2.0475518188,1.832568324,1.6369122116,1.472589919,1.3169209278,1.1777951789,1.0738102082,0.9764855433,0.8714893873,0.7479229299,0.7481451336,0.6542911632,0.5794113232,0.1270863912
BA33_120_2Slices,0.3657348386,0.7052837264,0.7314696771,1.4118630878,2.6424217728,1.3980493262,1.4247390692,1.4676979411,1.3407244139,1.2292029674,1.1684474835,1.2849597308,0.7314696771,0.9673867156,0.5796760043,0.3657348386,0,0,0,0,0.4071554078,0.8718589421,0.9319938616,1.2460801407,1.5299094069,1.9737865295,2.6043337291,1.7885504761,1.7294178575,1.7402044808,1.6713292692,1.5874571799,1.5333190191,1.2756214359,1.2484707966,0.8837831717,0.8837831717,0.6318621959,0.5137729223,0.2568864611,0,0,0,0,0.3251381423,0.4763187691,1.067625552,1.6678088496,1.9573275033,2.7014665489,2.1727081587,2.133248907,2.0527429866,1.9000033038,1.6680597559,1.3958067881,1.0789947942,0.6458132124,0.4458753078,0.205139328,0.1691739822,0,0.2962056622,0,0.439587068,0.3192961518,0.5996281187,0.8984322528,1.5620364931,2.0048628565,2.7373695078,2.3496300334,2.3082386751,2.2038609832,2.0137075296,1.7622200497,1.4347972875,1.1024290907,0.6204287192,0.5153357928,0.5932466436,0.5400535338,0.5489142488,0.6760407055,0.7100887772,0.7972940227,0.986457184,1.5019713574,1.955982558,2.2451832415,2.7714019054,2.4050088136,2.3437519147,2.1935183688,1.9755547684,1.7164110179,1.431410697,1.1117003674,0.7665916819,0.4225362264
BA34_120_2Slices,0.5796760043,1.0127160997,0.849209997,1.4817550659,2.664133025,1.6001141203,1.1922959428,1.1866880916,1.2206145803,1.0755998539,1.0590042306,1.1408848179,0.5796760043,0.5796760043,0,0,0,0,0,0,0.4161031638,0.5981128068,1.3770296348,1.6568006728,2.6452998299,1.8487411697,1.758635485,1.6766887311,1.5978937476,1.3357520188,0.8606446734,0.9366953969,0.5250637333,0.6095801169,0,0,0,0,0,0,0.8390475138,1.6503262716,1.9554050084,2.6733325133,2.1314732002,2.03869249,1.9413900059,1.8196495932,1.6388259226,1.5102783307,1.2434468171,1.0179789995,0.842249224,0.5320768993,0.5320768993,0.4116708843,0,0.2058354422,0,0.111269414,0.4757842002,1.2439002441,1.9081947836,2.2082902222,2.7423257007,2.2604788723,2.1665011064,2.0341791432,1.8601333327,1.6457630079,1.4277259844,1.2137219102,1.0566632615,0.815644497,0.7061453975,0.597786191,0.4424002537,0.4430704994,0,0.1711437801,0.2536101018,1.0581568636,1.7550887992,2.2019452378,2.7708247965,2.3774478023,2.2998867317,2.1741089301,2.0045800576,1.8056229177,1.597508324,1.4138504294,1.252027463,1.0701848151,0.9492046898,0.8713235582,0.7014386756,0.6120341301,0.3937495081,0.1286397465
BA35_120_2Slices,0,0.3334216096,0,0.4313243074,0.8326342326,1.1793104331,2.5795999139,1.6722945432,1.2286380728,1.2193731252,1.2148809857,1.2147670368,1.007952582,0.6460913442,0.8182039579,0.5979238176,0.7741810027,0,0,0.3334216096,0.3928785904,0.7999845303,1.0102799243,1.4113123426,1.5760185448,2.6611497605,1.90471713,1.8303545354,1.6998915587,1.6631792659,1.5035503498,1.3450483141,1.264137368,1.0215503037,0.8306986527,0.6884706667,0.4819230011,0,0,0,0,0,0,0,0,0.1978626266,1.0208733863,1.5681089211,1.9278994993,2.7181005791,2.1427352103,2.0543971657,1.9537600383,1.8427080062,1.5993029869,1.3762702539,0.9408145306,0.7805421114,0.3136048435,0.1978626266,0.2298314595,0,0.111116692,0,0.2676483035,0.3762903293,0.5715280776,0.8377826236,1.6198552085,2.0870440518,2.7594511969,2.2805746605,2.2051262416,2.0445771232,1.8135880438,1.4875529543,1.1354305062,0.8306408925,0.329664723,0,0.5313893281,0.510572344,0.5343232705,0.5064114865,0.6796295678,0.8360722775,0.9493750714,1.5746981284,2.0957727672,2.7875418567,2.3741153439,2.3193303794,2.1868476024,1.9821550185,1.7041257394,1.3836302648,1.0740547864,0.7602111174,0.4916668322,0.3450499327
